"","content","video_name.VIDEO_NAMEEminem - Love The Way You Lie ft. Rihanna","video_name.VIDEO_NAMEKaty Perry - Roar","video_name.VIDEO_NAMELMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","video_name.VIDEO_NAMEPSY - GANGNAM STYLE(?????) M/V","video_name.VIDEO_NAMEShakira - Waka Waka","class","date_missing","year","month","day","hour","minute","second","week","quarter","day_of_year","week_of_year","weekend","hour_sin","hour_cos","weekday_num","weekday_sin","weekday_cos","month_sin","month_cos","author_freq","cpt_ratio","has_url","contains_out","contains_check","contains_please","contains_youtube","contains_subscribe","contains_video","contains_channel","contains_money","contains_follow","word_count"
"1014","Is that tiger called 'Katty Purry'?",0,1,0,0,0,0,0,2014,10,13,10,58,22,41,4,286,42,0, 5.000000e-01,-8.660254e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  6
"1015","Check out this video on YouTube:",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"1016","h my god ... Roar is the most liked video at Vevo .. while 2 months ago was Justin's Baby.. congrats Katy . Applause <3",0,1,0,0,0,0,0,2014,11, 3,14, 8,14,44,4,307,45,0,-5.000000e-01,-8.660254e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.070588235,0,0,0,0,0,0,1,0,0,0, 25
"1017","Get free gift cards and pay pal money!",0,0,0,1,0,1,0,2014,11, 6, 1,44,12,45,4,310,45,0, 2.588190e-01, 9.659258e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.033333333,0,0,0,0,0,0,0,0,1,0,  8
"1018","http://tankionline.com#friend=cd92db3f4 great game check it out!",0,0,0,1,0,1,0,2014, 1,20,20,35,56, 3,1, 20, 4,0,-8.660254e-01, 5.000000e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.000000000,1,1,1,0,0,0,0,0,0,0,  6
"1019","That guy charley of lost TV show",1,0,0,0,0,0,0,2015, 5, 7,22,59,13,19,2,127,19,0,-5.000000e-01, 8.660254e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.115384615,0,0,0,0,0,0,0,0,0,0,  7
"1020","Pleas subscribe GamezZ MTA my channel",0,0,0,0,1,1,0,2015, 5, 9, 0, 7,53,19,2,129,19,1, 0.000000e+00, 1.000000e+00,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.176470588,0,0,0,0,0,1,0,1,0,0,  6
"1021","Like this comment for no reason",0,0,1,0,0,1,0,2014, 7,22, 4,20,37,29,3,203,30,0, 8.660254e-01, 5.000000e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01,-8.660254e-01,1,0.038461538,0,0,0,0,0,0,0,0,0,0,  6
"1022","Fuck Eminem. Bieber is the best <3",1,0,0,0,0,0,0,2015, 5,28,17,25, 6,22,2,148,22,0,-9.659258e-01,-2.588190e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  7
"1023","if your like drones, plz subscribe to Kamal Tayara. He takes videos with his drone that are absolutely beautiful.",0,0,0,1,0,1,0,2014,11, 2,14,33,30,44,4,306,44,1,-5.000000e-01,-8.660254e-01,1, 7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.032608696,0,0,0,0,0,1,0,0,0,0, 19
"1024","Hey everyone check out my channel leave a like and subscribe please and if there is a song you want me to do post the name in the comments and I will get on to it(: Thanks",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.022556391,0,1,1,1,0,1,0,1,0,0, 37
"1025","Don&#39;t love someone soo much, love the way u lie..",1,0,0,0,0,0,0,2015, 5,28,18,41,47,22,2,148,22,0,-1.000000e+00,-1.836910e-16,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.027777778,0,0,0,0,0,0,0,0,0,0, 10
"1026","I am going to blow my mind",0,0,1,0,0,0,0,2015, 5,22,15, 4,20,21,2,142,21,0,-7.071068e-01,-7.071068e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.050000000,0,0,0,0,0,0,0,0,0,0,  7
"1027","C'mon 3 billion views!!!!!!!!",0,0,0,1,0,0,0,2014,11, 8, 3,47,23,45,4,312,45,1, 7.071068e-01, 7.071068e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.062500000,0,0,0,0,0,0,0,0,0,0,  4
"1028","This Will Always Be My Favorite Song But My Favorite Part Is 3:40 - 4:11 In The Video",0,0,1,0,0,0,0,2015, 5,27, 0,33,53,21,2,147,22,0, 0.000000e+00, 1.000000e+00,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.156462585,0,0,0,0,0,0,0,0,0,0, 18
"1029","Check out this playlist on YouTube:",0,0,1,0,0,1,0,2015, 4,28, 1, 7,30,17,2,118,18,0, 2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 8.660254e-01,-5.000000e-01,1,0.103448276,0,1,0,0,0,0,0,0,0,0,  6
"1030","Check out this playlist on YouTube:",0,0,1,0,0,1,0,2015, 2,20, 1,53,33, 8,1, 51, 8,0, 2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898, 8.660254e-01, 5.000000e-01,2,0.103448276,0,1,0,0,0,0,0,0,0,0,  6
"1031","I really am madly in love with this woman!!",0,0,0,0,1,0,0,2015, 5,25,15,53,41,21,2,145,22,0,-7.071068e-01,-7.071068e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.030303030,0,0,0,0,0,0,0,0,0,0,  9
"1032","Check out this playlist on YouTube:chcfcvzfzfbvzdr",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.068181818,0,1,0,0,0,0,0,0,0,0,  6
"1033","I love song",0,0,0,0,1,0,0,2015, 5,29, 0,14,48,22,2,149,22,0, 0.000000e+00, 1.000000e+00,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  3
"1034","Check out my Music Videos! Fuego - U LA LA Remix hyperurl.co/k6a5xt",0,0,0,1,0,1,0,2014,11,12, 7,14, 6,46,4,316,46,0, 9.659258e-01,-2.588190e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,2,0.200000000,0,1,0,0,0,0,0,0,0,0, 12
"1035","WOw",0,0,0,0,1,0,0,2013, 9, 5,19,30,37,36,3,248,36,0,-9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.666666667,0,0,0,0,0,0,0,0,0,0,  1
"1036","awesome",0,0,1,0,0,0,0,2014, 7,22,13,45,20,29,3,203,30,0,-2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"1037","Fantastic!!!",0,1,0,0,0,0,0,2014, 9,28,12,38,26,39,3,271,39,1, 1.224606e-16,-1.000000e+00,1, 7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  1
"1038","At 500 subscribers i&#39;m sky diving help me reach my goal <3 Trust me, i&#39;m a doctor. :)",0,0,1,0,0,1,0,2015, 2,21, 6,19, 3, 8,1, 52, 8,1, 1.000000e+00, 6.123032e-17,7,-2.449213e-16, 1.0000000, 8.660254e-01, 5.000000e-01,1,0.032786885,0,0,0,0,0,0,0,0,0,0, 18
"1039","love the way you lie featuring rhianna, hes an awesome rapper!!! shes an awesome singer!!!",1,0,0,0,0,0,0,2015, 5,25, 1,56, 4,21,2,145,22,0, 2.588190e-01, 9.659258e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 15
"1040","Check out my drum cover of E.T. here! thanks -> /watch?v=NO9pOVZ9OIQ&list=UUltuCDIHsDeI01by1OW7WuQ",0,1,0,0,0,1,0,2014,10,27,13,19, 6,43,4,300,44,0,-2.588190e-01,-9.659258e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.298701299,0,1,0,0,0,0,0,0,0,0, 11
"1041","subscribe to itz recaps and above diddle",0,0,0,1,0,1,0,2014,11, 4,11,38,51,44,4,308,45,0, 2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,1,0,0,0,0,  7
"1042","Check out this video on YouTube:",0,0,1,0,0,1,0,2014,12, 7, 6,40,55,49,4,341,49,1, 1.000000e+00, 6.123032e-17,1, 7.818315e-01, 0.6234898,-2.449213e-16, 1.000000e+00,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"1043","need money?Enjoy https://www.tsu.co/emerson_zanol",0,0,0,1,0,1,0,2014,11, 4,13,48, 4,44,4,308,45,0,-2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.025641026,1,0,0,0,0,0,0,0,1,0,  3
"1044","http://9gag.com/gag/aAVpwj9/ =)",0,1,0,0,0,1,0,2014, 8,26, 2,44,42,34,3,238,35,0, 5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689,-8.660254e-01,-5.000000e-01,1,0.105263158,1,0,0,0,0,0,0,0,0,0,  2
"1045","Hey everyone, I&#39;m Dakoda Bigelow. I&#39;m a 17 year old singer, rapper and producer. I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it. Check out my brand new music video for my song So Gone! Also check out my new song called Deaf. A few moments of your time would be greatly appreciated and you won&#39;t regret it :) Please thumbs this up so more people can see it! Thanks for the support.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.044910180,0,1,1,0,0,0,1,0,0,0, 85
"1046","For latest movies 2014 please visit this site http://www.networkedblogs.com/p/11cPWb?ref=panorama",0,1,0,0,0,1,0,2014,11, 8,14,17,38,45,4,312,45,1,-5.000000e-01,-8.660254e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.040540541,1,0,0,1,0,0,0,0,0,0,  9
"1047","Support the fight for your 4th amendment right to privacy in your home. Stop the NSA spying on Americans with the un Patriot Act Renewal. Rand Paul has spent 10.5 hours on the Senate floor in a Protest and Filibuster fighting for our Constitution that this Nation is founded on. Join the fight at Rand Paul dot com. Spread The Word. We Have Someone That Cares About Our Nation. Email your Senators, Congress men and women, tell them to support Rand. Tell the news to support Rand too Senator Rand Paul was up until 1:00 am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters join Rand in the fight to protect it.ht to privacy in your home and business.. Senator Rand Paul was up until 1:00 am this passed Saturday morning fighting for our Constitution buy postponing the vote until this week. Our Constitution Matters To All Of US, Help Rand Protect It by joining the fright for it.",0,0,0,0,1,1,0,2015, 5,26,14,33,52,21,2,146,22,0,-5.000000e-01,-8.660254e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,2,0.081206497,0,0,0,0,0,0,0,0,0,0,169
"1048","watch youtube video ""EMINEM -YTMA artist of the year"" plz share to vote!!!",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.156250000,0,0,0,0,1,0,1,0,0,0, 13
"1049","Katy perry is and inspirational singer her voice is awesome and I loved her so much . She achieved music history and I couldn't believe that . Guys if you could take 1min to go to my channel and watch my first video I would be greatly thankful for this :) ty guys N katy is still awesome xoxo",0,1,0,0,0,1,0,2014, 9,10, 9, 9,57,37,3,253,37,0, 7.071068e-01,-7.071068e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.030701754,0,0,0,0,0,0,1,1,0,0, 59
"1050","And after the video ends, a 13 ft. boa constrictor squeezes her to death.",0,1,0,0,0,0,0,2014, 9, 1,17,55,34,35,3,244,36,0,-9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.018181818,0,0,0,0,0,0,1,0,0,0, 14
"1051","CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS",0,0,0,1,0,1,0,2014,11, 5,22,50, 2,45,4,309,45,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  9
"1052","EVERYONE PLEASE GO SUBSCRIBE TO MY CHANNEL OR JUST LOON AT MY VIDEOS",0,0,1,0,0,1,0,2014, 7,22,10, 2,25,29,3,203,30,0, 5.000000e-01,-8.660254e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01,-8.660254e-01,3,1.000000000,0,0,0,0,0,0,0,0,0,0, 13
"1053","It's so hard, sad :( iThat little child Actor HWANG MINOO dancing very active child is suffering from brain tumor, only 6 month left for him .Hard to believe .. Keep praying everyone for our future superstar. #StrongLittlePsY #Fighting SHARE EVERYONE PRAYING FOR HIM http://ygunited.com/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/",0,0,0,1,0,1,0,2014,11, 8, 2,24, 2,45,4,312,45,1, 5.000000e-01, 8.660254e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.169741697,1,0,0,0,0,0,0,0,0,0, 45
"1054","Man this song really does get in your bones - one minute I&#39;m nearly dosing off to sleep - the next I&#39;m shuffling like crazy with hot feet XD",0,0,1,0,0,0,0,2015, 5,19,23,17,19,20,2,139,21,0,-2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.046296296,0,0,0,0,0,0,0,0,0,0, 29
"1055","Subscribe",0,0,1,0,0,1,0,2014, 9,16,11, 2,58,37,3,259,38,0, 2.588190e-01,-9.659258e-01,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.111111111,0,0,0,0,0,0,0,0,0,0,  1
"1056","this jap is such a piece of shit. he is such a worthless fish head. i dont know how any one likes this dumb untanlted gook. this isnt even fucken music. this is so fucking sad that this is even such thing. people are so fucked up.",0,0,0,1,0,0,0,2014,11, 8, 0,45,40,45,4,312,45,1, 0.000000e+00, 1.000000e+00,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 47
"1057","just :( superr!!!",0,0,1,0,0,0,0,2015, 5,27,15,44,45,21,2,147,22,0,-7.071068e-01,-7.071068e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  3
"1058","THIS IS A COMPETITION TO MEET MY IDOLS, IT WOULD MEAN SO MUCH IF YOU GUYS WILL LIKE THIS PIC ON IG! http://instagram.com/p/smZdivopxb/",0,1,0,0,0,1,0,2014, 9,18,11,35,49,38,3,261,38,0, 2.588190e-01,-9.659258e-01,5,-9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.747572816,1,0,0,0,0,0,0,0,0,0, 23
"1059","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 1, 4,15,42,24, 1,1,  4, 1,1,-7.071068e-01,-7.071068e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"1060","subscribe to + SuperMarioLogan if you thot the robot dudes r epic and awsome",0,0,1,0,0,1,0,2015, 3, 8,21,27, 5,10,1, 67,10,1,-7.071068e-01, 7.071068e-01,1, 7.818315e-01, 0.6234898, 1.000000e+00, 6.123032e-17,1,0.031847134,0,0,0,0,0,1,0,0,0,0, 14
"1061","----->>>> https://www.facebook.com/video.php?v=10200253113705769&set=vb.201470069872822&type=3&permPage=1 <--------",0,0,0,1,0,1,0,2014,11, 2,16,17,11,44,4,306,44,1,-8.660254e-01,-5.000000e-01,1, 7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.015625000,1,0,0,0,0,0,1,0,0,0,  3
"1062","*****PLEASE READ***** Hey everyone! I&#39;m a 19 year old student who loves to sing. I record and upload covers on my channel. I would love if you could check them out. Just give me a chance. You don&#39;t have to thumbs up or subscribe (But you can if you like what your hear) Just listen. I&#39;d really appreciate. ~THANK YOU for your time. ~",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.111111111,0,1,1,0,0,1,0,1,0,0, 64
"1063","Love Song",1,0,0,0,0,0,0,2015, 5,24, 0,15, 8,21,2,144,21,1, 0.000000e+00, 1.000000e+00,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.250000000,0,0,0,0,0,0,0,0,0,0,  2
"1064","Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes, could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you!",0,0,0,0,1,1,0,2013, 8,16,18,33,18,33,3,228,33,0,-1.000000e+00,-1.836910e-16,6,-7.818315e-01, 0.6234898,-8.660254e-01,-5.000000e-01,1,0.045918367,0,1,1,1,0,1,0,1,0,0, 49
"1065","OMG that looks just like a piece of the mirror of harry potter and the deathly hallows. Either that house. (sirius black)",1,0,0,0,0,0,0,2015, 5,28,20,24,21,22,2,148,22,0,-8.660254e-01, 5.000000e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.040816327,0,0,0,0,0,0,0,0,0,0, 22
"1066","Strong messages in every song I&#39;ve heard.",0,0,1,0,0,0,0,2015, 5,22,20,42,29,21,2,142,21,0,-8.660254e-01, 5.000000e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.060606061,0,0,0,0,0,0,0,0,0,0,  7
"1067","FREe ITunes Gift card http://shhort.com/a?r=x6J4gBrne",0,1,0,0,0,1,0,2014,10, 9, 0,37,48,41,4,282,41,0, 0.000000e+00, 1.000000e+00,5,-9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.200000000,1,0,0,0,0,0,0,0,0,0,  5
"1068","Check out this video on YouTu",0,0,1,0,0,1,0,2014,10, 4, 4,31, 8,40,4,277,40,1, 8.660254e-01, 5.000000e-01,7,-2.449213e-16, 1.0000000,-8.660254e-01, 5.000000e-01,1,0.125000000,0,1,0,0,0,0,1,0,0,0,  6
"1069","I lovet",1,0,0,0,0,0,0,2015, 5,20,18,53,35,20,2,140,21,0,-1.000000e+00,-1.836910e-16,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.166666667,0,0,0,0,0,0,0,0,0,0,  2
"1070","DO YOU KNOW HOW SEAN KINGSTON GOT FAMOUS WHY DON&#39;T YOU LOOK IT UP KID BEFORE YOUR SO HARD ON YOURSELF!! IF YOU HIT ME UP WITH A MESSAGE IN MY INBOX AND SUBSCRIBE I WILL CHECK OUT YOUR CHANNEL....SOUNDS FAIR TO ME.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,1.000000000,0,0,0,0,0,0,0,0,0,0, 43
"1071","Check Out Daneja Good Girl",0,0,0,0,1,1,0,2013,10, 8,18,26, 6,41,4,281,41,0,-1.000000e+00,-1.836910e-16,3, 4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.227272727,0,0,0,0,0,0,0,0,0,0,  5
"1072","I know that maybe no one will read this but PLEASE TYPE IN ""deazy99"" I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a ""THUMBS UP"" because what some might see as just a simple button press could make my dream come true..thank you again for your time & may god bless you",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.056790123,0,1,1,1,1,1,0,0,0,0, 97
"1073","cooooooooooooolllllllllll",0,0,1,0,0,0,0,2015, 5,19,22, 1,54,20,2,139,21,0,-5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"1074",":)",0,0,1,0,0,0,0,2015, 5,20,16,17,41,20,2,140,21,0,-8.660254e-01,-5.000000e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"1075","Me and my big sister like you",1,0,0,0,0,0,0,2015, 5,19,22,35,44,20,2,139,21,0,-5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.043478261,0,0,0,0,0,0,0,0,0,0,  7
"1076","WELL THIS DUDES FADED THE FUCK OUT!",0,0,1,0,0,0,0,2015, 5,26,12, 4,50,21,2,146,22,0, 1.224606e-16,-1.000000e+00,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  7
"1077","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 4,16, 0,20,37,16,2,106,16,0, 0.000000e+00, 1.000000e+00,5,-9.749279e-01,-0.2225209, 8.660254e-01,-5.000000e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"1078","Plz subscribe to my channel and I will subscribe back xx",0,0,0,1,0,1,0,2014, 1,20,16,41,27, 3,1, 20, 4,0,-8.660254e-01,-5.000000e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.043478261,0,0,0,0,0,1,0,1,0,0, 11
"1079","Eminem is the king of rap Micheal Jackson is the king of pop If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.037735849,0,1,1,0,0,0,0,0,0,0, 41
"1080","HOW DO YOU PUT A PICTURE FOR YOUR IMAGE THINGIE?!?!",0,0,1,0,0,1,0,2015, 5,20,19,53,57,20,2,140,21,0,-9.659258e-01, 2.588190e-01,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0, 10
"1081","I hate videos like these with those poor animals.",0,1,0,0,0,0,0,2014,11,10,15,58,40,45,4,314,46,0,-7.071068e-01,-7.071068e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.025000000,0,0,0,0,0,0,0,0,0,0,  9
"1082","epic",0,0,1,0,0,0,0,2015, 5,21,14, 1, 1,21,2,141,21,0,-5.000000e-01,-8.660254e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"1083","SUBSCRIBE MY CHANNEL",0,0,0,0,1,1,0,2013, 7,25, 5,45,57,30,3,206,30,0, 9.659258e-01, 2.588190e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01,-8.660254e-01,1,1.000000000,0,0,0,0,0,0,0,0,0,0,  3
"1084","Love the video",1,0,0,0,0,0,0,2015, 5,22,14,44,13,21,2,142,21,0,-5.000000e-01,-8.660254e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.083333333,0,0,0,0,0,0,1,0,0,0,  3
"1085","1 million dislikes!EPIC FAIL(ready for you fanboys)",0,0,0,1,0,0,0,2014,11, 8, 9,39,28,45,4,312,45,1, 7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.195121951,0,0,0,0,0,0,0,0,0,0,  7
"1086","Hey guys subscribe to my channel for no reason! Please!..",0,1,0,0,0,1,0,2014, 9,20,12,33,21,38,3,263,38,1, 1.224606e-16,-1.000000e+00,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.045454545,0,0,0,0,0,1,0,1,0,0, 10
"1087","Free my apps get 1m crdits ! Just click on the link and download a app and done!! Link: https://m.freemyapps.com/share/url/5af506e1",0,0,0,1,0,1,0,2014,11,14,11,50, 2,46,4,318,46,0, 2.588190e-01,-9.659258e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.031914894,1,0,0,0,0,0,0,0,0,0, 20
"1088","Fruits and vegetables give you longer lasting energy for weight loss. Check out youtube.com/user/36loseweight.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.022222222,0,1,0,0,1,0,0,0,0,0, 14
"1089","Lil m !!!!! Check hi out!!!!! Does live the way you lie and many more ! Check it out!!! And subscribe",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,2,0.074626866,0,1,0,0,0,1,0,0,0,0, 21
"1090","music yeah",0,0,1,0,0,0,0,2015, 5,23,18,56, 7,21,2,143,21,1,-1.000000e+00,-1.836910e-16,7,-2.449213e-16, 1.0000000, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  2
"1091","She loves Vena. trojmiasto.pl/Vena-Bus-Taxi-o59253.html",0,1,0,0,0,1,0,2014, 9,17,22,22,44,38,3,260,38,0,-5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.125000000,0,0,0,0,0,0,0,0,0,0,  4
"1092","Wanderfol is love or miusic",0,0,0,0,1,0,0,2015, 5,21,14,52,58,21,2,141,21,0,-5.000000e-01,-8.660254e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.043478261,0,0,0,0,0,0,0,0,0,0,  5
"1093","People who believe in Illuminati are stupid the same people believe that 911 was made by the American government",0,1,0,0,0,0,0,2014,10,29,11,28,58,44,4,302,44,0, 2.588190e-01,-9.659258e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.032967033,0,0,0,0,0,0,0,0,0,0, 19
"1094","like this comment if you&#39;re watching this video when big bang happened i do",0,0,1,0,0,1,0,2015, 3,21,18,25, 5,12,1, 80,12,1,-1.000000e+00,-1.836910e-16,7,-2.449213e-16, 1.0000000, 1.000000e+00, 6.123032e-17,1,0.000000000,0,0,0,0,0,0,1,0,0,0, 14
